case_id,seed,timestamp,S,mu,delta,lf_success,lf_peak_force,lf_safety_violated,lf_max_rotation_deg,lf_wall_time,lf_connector_failed_t,hf_success,hf_peak_force,hf_safety_violated,hf_max_rotation_deg,hf_wall_time,hf_connector_failed_t,hf_failure_sequence,hf_n_failed,force_discrepancy,adequate_label,success_agree,safety_agree,speedup_ratio,phase
860,902,2026-09-21T15:19:38,83.56832826708117,0.3710209422820697,0.004507090614057547,1,1.1932991587775204,0,0.0008451476197809545,0.006125148036517203,0.0,1,1.6957110588447744,0,0.11002949839745141,0.009650814987253398,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.29628390842100705,0,1,1,1.5756051820652666,boundary
861,903,2026-09-21T15:19:38,34.71703664258271,0.5850692977920553,0.004548946975499958,1,1.1968513263198626,0,0.0015258222078471623,0.006185717997141182,0.0,1,1.1905849570783447,0,0.03997273098076449,0.009394858032464981,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.005263269289824868,1,1,1,1.5187983087504067,boundary
862,904,2026-09-21T15:19:38,36.60820359190013,0.17551158087477461,0.003266730646147436,1,1.2041319171803975,0,0.0005738731063428492,0.005987711017951369,0.0,1,1.7802478401503166,0,0.07629535994965256,0.010091395990457386,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.32361557193141954,0,1,1,1.6853512068640293,boundary
863,905,2026-09-21T15:19:38,86.3404636302996,0.7265988962687185,0.0036654906503435524,1,1.2194403896108177,0,0.003727901492950437,0.006547269003931433,0.0,1,1.208099751414796,0,0.02160630590261828,0.010959637991618365,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.009387170374582712,1,1,1,1.6739251106129045,boundary
864,906,2026-09-21T15:19:38,75.78190565622575,0.540924343889803,0.0063139515640922485,1,1.1861377650523566,0,0.00047666438910399524,0.006054989004042,0.0,1,1.6764670069520233,0,0.6340537122926038,0.010531496023759246,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.2924777164515346,0,1,1,1.739308860301639,boundary
865,907,2026-09-21T15:19:38,117.1836754077984,0.5580907257526555,0.006342296812160483,1,1.1856288857128554,0,0.006052196665095605,0.006039507978130132,0.0,1,1.1863654278511975,0,0.05048496467042636,0.009696644963696599,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0006208391791019463,1,1,1,1.6055355831649616,boundary
866,908,2026-09-21T15:19:38,77.923697327693,0.5549279437069395,0.004948628935189838,1,1.187797349096664,0,0.0006161422629510445,0.005999763961881399,0.0,1,1.1858054788355439,0,0.01297399209876164,0.009174284990876913,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0016797613914519443,1,1,1,1.5291076530950813,boundary
867,909,2026-09-21T15:19:38,115.16817020991176,0.361374868131636,0.005071876893230611,1,1.2010888229373173,0,0.0009315000839624906,0.00624582200543955,0.0,1,1.1850784087668937,0,0.056063296418140666,0.010088759008795023,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.013510004107730613,1,1,1,1.6152812231934597,boundary
868,910,2026-09-21T15:19:38,57.397968937844,0.43589682114227624,0.00533286997382766,1,1.191278130239777,0,0.0013358940966192137,0.005998715991154313,0.0,0,1.3208631172860101,1,0.028537453973164754,0.008001484035048634,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.09810629530824708,0,0,0,1.33386612182467,boundary
869,911,2026-09-21T15:19:38,32.50393353448595,0.6305349254121756,0.005927689189290157,1,1.1938185398418781,0,0.001002771745755871,0.006127006025053561,0.0,1,1.1902373854403783,0,0.0175634244443829,0.009311543952208012,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.003008773245830172,1,1,1,1.5197543325618996,boundary
