case_id,task,task_id,strength,friction,misalignment,lf_success,hf_success,lf_placement,hf_placement,lf_peak_force,hf_peak_force,lf_wall_time,hf_wall_time,force_error,adequate
89,hdd,0,56.61546220160265,0.7297305231847809,0.004372769386231028,1,1,1,1,56.68089414378832,0.0,0.32964250002987683,0.3362361000617966,5.668089414378832,0
90,hdd,0,26.31486819694525,0.5849258365678164,0.002318576481796609,1,1,1,1,26.61834117160282,0.0,0.3408848999533802,0.3473898000083864,2.661834117160282,0
91,hdd,0,37.13628539462968,0.7657449994374678,0.001962836521151146,1,1,1,1,37.43985022639262,0.0,0.41223430004902184,0.3540964999701828,3.7439850226392624,0
92,hdd,0,42.56066963434931,0.2458227721136148,0.0038966665348737443,1,1,1,1,42.97360270029675,0.0,0.3335175000829622,0.3409236000152305,4.297360270029675,0
93,hdd,0,112.38295612439259,0.3168985581886369,0.0020751600424107593,1,1,1,1,112.7571575460205,0.0,0.37270169996190816,0.40332430007401854,11.27571575460205,0
94,hdd,0,74.58775170963186,0.6384180956563916,0.006091433795953526,1,1,1,1,74.65393339358192,0.0,0.3318287000292912,0.3478288999758661,7.465393339358192,0
95,hdd,0,74.86124585809894,0.1535517403868356,0.003536703622974411,1,1,1,1,75.10312841173734,0.0,0.3306041000178084,0.34646949998568743,7.510312841173734,0
96,hdd,0,52.49208235042745,0.23742943222655802,0.004697774438565639,1,1,1,1,52.6400059420121,0.0,0.3304166999878362,0.34438899997621775,5.26400059420121,0
97,hdd,0,108.3160127111783,0.2751753689722912,0.005437356982891203,1,1,1,1,108.82511288171294,0.0,0.34485830005723983,0.3379295999184251,10.882511288171294,0
98,hdd,0,60.38547501613408,0.31022714266416895,0.0030938781151843577,1,1,1,1,60.579476542683295,0.0,0.33208710001781583,0.3372250000247732,6.05794765426833,0
99,hdd,0,92.7326580399088,0.48318121907153366,0.001156200445973452,1,1,1,1,92.95533085503017,0.0,0.3691409999737516,0.3887000000104308,9.295533085503017,0
100,hdd,0,73.74033454847395,0.5313527115137028,0.0066523715190413965,1,1,1,1,74.05846553780214,0.0,0.4190453999908641,0.3447135000023991,7.405846553780213,0
101,hdd,0,73.49525904326987,0.7326656649970473,0.005027658683584173,1,1,1,1,73.98339528091928,0.0,0.45340400002896786,0.3625735000241548,7.398339528091928,0
102,hdd,0,35.53830350129988,0.7775076857004467,0.007912894311533311,1,1,1,1,35.99921208469219,0.0,0.34926519996952266,0.4479607999091968,3.599921208469219,0
103,hdd,0,104.95341052968202,0.1945516196939446,0.0041222162835041366,1,1,1,1,105.29613721683128,0.0,0.3470212999964133,0.3384604000020772,10.529613721683129,0
104,hdd,0,64.58914335315706,0.5938091391097314,0.0011102295346713,1,1,1,1,65.14074302365147,0.0,0.3431183999637142,0.5175855999113992,6.514074302365147,0
105,hdd,0,90.89083481186248,0.7244479171473039,0.0036617135107878417,1,1,1,1,91.33573213096788,0.0,0.47018950001802295,0.41984069999307394,9.133573213096788,0
106,hdd,0,100.56770784180956,0.6974526648376642,0.007842230719478982,1,1,1,1,100.84384956547309,0.0,0.426352999988012,0.35343920008745044,10.084384956547309,0
107,hdd,0,90.50636319056663,0.13890049052165573,0.004652388405604533,1,1,1,1,90.70657498446103,0.0,0.43671469995751977,0.6347865000134334,9.070657498446103,0
